Product,Store Name,Price
Milk,ShopRite of East Brunswick,2.99
Milk,ACME Markets,3.09
Milk,Wegmans,3.29
Milk,ShopRite of Newark,2.89
Milk,ALDI,2.79
Milk,Key Food Supermarket,2.99
Milk,ShopRite of Camden,2.89
Milk,ALDI,2.69
Milk,Save-A-Lot,2.79
Banana,ShopRite of East Brunswick,0.59
Banana,ACME Markets,0.55
Banana,Wegmans,0.69
Banana,ShopRite of Newark,0.58
Banana,ALDI,0.49
Banana,Key Food Supermarket,0.59
Banana,ShopRite of Camden,0.6
Banana,ALDI,0.55
Banana,Save-A-Lot,0.58
Avocado,ShopRite of East Brunswick,1.49
Avocado,ACME Markets,1.59
Avocado,Wegmans,1.79
Avocado,ShopRite of Newark,1.69
Avocado,ALDI,1.29
Avocado,Key Food Supermarket,1.59
Avocado,ShopRite of Camden,1.69
Avocado,ALDI,1.49
Avocado,Save-A-Lot,1.59
Chicken Breast,ShopRite of East Brunswick,3.99
Chicken Breast,ACME Markets,4.29
Chicken Breast,Wegmans,4.49
Chicken Breast,ShopRite of Newark,3.79
Chicken Breast,ALDI,3.49
Chicken Breast,Key Food Supermarket,4.19
Chicken Breast,ShopRite of Camden,3.89
Chicken Breast,ALDI,3.59
Chicken Breast,Save-A-Lot,3.69
Ground Beef,ShopRite of East Brunswick,5.99
Ground Beef,ACME Markets,6.49
Ground Beef,Wegmans,6.99
Ground Beef,ShopRite of Newark,5.89
Ground Beef,ALDI,5.49
Ground Beef,Key Food Supermarket,6.29
Ground Beef,ShopRite of Camden,5.79
Ground Beef,ALDI,5.39
Ground Beef,Save-A-Lot,5.49
Bread,ShopRite of East Brunswick,1.49
Bread,ACME Markets,1.69
Bread,Wegmans,1.39
Bread,ShopRite of Newark,1.29
Bread,ALDI,1.19
Bread,Key Food Supermarket,1.39
Bread,ShopRite of Camden,1.49
Bread,ALDI,1.09
Bread,Save-A-Lot,1.19
